ID,Keyword,Cluster,Search Intent,Estimated Difficulty,Business Value,Priority Score,Recommended Page Type,Primary Funnel Stage,Notes
1,AI chatbot development company Johor Bahru,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
2,AI chatbot development company Phnom Penh,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
3,AI chatbot development consultant Johor Bahru,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
4,AI chatbot development consultant Phnom Penh,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
5,AI voice agent development company Bali,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
6,AI voice agent development company Brunei,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
7,AI voice agent development company Cebu,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
8,AI voice agent development company Johor Bahru,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
9,AI voice agent development company Phnom Penh,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
10,AI voice agent development company Surabaya,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
11,AI voice agent development consultant Bali,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
12,AI voice agent development consultant Brunei,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
13,AI voice agent development consultant Cebu,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
14,AI voice agent development consultant Johor Bahru,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
15,AI voice agent development consultant Phnom Penh,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
16,AI voice agent development consultant Surabaya,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
17,AI workflow automation company Johor Bahru,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
18,AI workflow automation company Phnom Penh,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
19,AI workflow automation consultant Johor Bahru,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
20,AI workflow automation consultant Phnom Penh,AI automation and agents,Local/Transactional,18,5,100,Location landing page,Decision,service x location
21,business intelligence dashboards company Johor Bahru,Dashboards and BI,Local/Transactional,18,5,100,Location landing page,Decision,service x location
22,business intelligence dashboards company Phnom Penh,Dashboards and BI,Local/Transactional,18,5,100,Location landing page,Decision,service x location
23,business intelligence dashboards consultant Johor Bahru,Dashboards and BI,Local/Transactional,18,5,100,Location landing page,Decision,service x location
24,business intelligence dashboards consultant Phnom Penh,Dashboards and BI,Local/Transactional,18,5,100,Location landing page,Decision,service x location
25,cloud infrastructure consulting company Johor Bahru,Cloud and infrastructure,Local/Transactional,18,5,100,Location landing page,Decision,service x location
26,cloud infrastructure consulting company Phnom Penh,Cloud and infrastructure,Local/Transactional,18,5,100,Location landing page,Decision,service x location
